Step,Normal Vehicles,Autonomous Vehicles(Particles),Vehicle Type,Fitness,Travel Time,Interaction Score,Interaction Information,Global Best Fitness,Global Best Position
37,,5,auto,1.0029940119760479,334.0,1,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (6),
 distance: 10.671729550711504
Autonomous Vehicle 5 is blocked by Normal Vehicle 1,
 distance: 9.60593223562126
",,
37,6,,car,,328.0,0,,,
37,7,,car,,320.0,0,,,
37,8,,car,,313.0,0,,,
38,0,,car,,369.0,0,,,
38,1,,car,,365.0,0,,,
38,11,,car,,302.0,0,,,
38,,12,auto,0.003484320557491289,287.0,0,,,
38,,2,auto,-0.997229916897507,361.0,-1,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (1),
 distance: 5.915022569202321
",,
38,3,,car,,357.0,0,,,
38,,5,auto,1.0028985507246377,345.0,1,"Autonomous Vehicle 5 is blocked by Normal Vehicle 1,
 distance: 69.28226172965287
",,
38,6,,car,,339.0,0,,,
38,7,,car,,331.0,0,,,
39,1,,car,,375.0,0,,,
39,,12,auto,0.003367003367003367,297.0,0,,,
39,,2,auto,0.0026954177897574125,371.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (1),
 distance: 2.3633578835008677
",,
39,3,,car,,367.0,0,,,
39,,5,auto,1.0028169014084507,355.0,1,"Autonomous Vehicle 5 is too close to a Neighbor Normal Vehicle (1) in a different lane,
 distance: 74.06149951603393
Autonomous Vehicle 5 is blocked by Normal Vehicle 1,
 distance: 74.06149951603393
",,
39,6,,car,,349.0,0,,,
39,7,,car,,341.0,0,,,
40,1,,car,,385.0,0,,,
40,,12,auto,0.003257328990228013,307.0,0,,,
40,,2,auto,0.0026246719160104987,381.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (1),
 distance: 0.57988629963873
",,
40,3,,car,,377.0,0,,,
40,,5,auto,1.0027397260273974,365.0,1,"Autonomous Vehicle 5 is blocked by Normal Vehicle 6,
 distance: 74.29559595067113
",,
40,6,,car,,359.0,0,,,
40,7,,car,,351.0,0,,,
41,1,,car,,392.0,0,,,
41,,12,auto,0.0031847133757961785,314.0,0,,,
41,,2,auto,-0.9974226804123711,388.0,-1,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (1),
 distance: 0.4689982333810718
",,
41,3,,car,,384.0,0,,,
41,,5,auto,1.0026881720430108,372.0,1,"Autonomous Vehicle 5 is too close to a Neighbor Normal Vehicle (1) in a different lane,
 distance: 77.80247127598423
Autonomous Vehicle 5 is blocked by Normal Vehicle 1,
 distance: 77.80247127598423
",,
41,6,,car,,366.0,0,,,
41,7,,car,,358.0,0,,,
42,1,,car,,399.0,0,,,
42,,12,auto,0.003115264797507788,321.0,0,"Autonomous Vehicle 12 is too close to the Following Normal Vehicle (7),
 distance: 23.236944592289966
",,
42,,2,auto,-0.9974683544303797,395.0,-1,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (6),
 distance: 0.5593783090342299
",,
42,3,,car,,391.0,0,,,
42,,5,auto,1.0026385224274406,379.0,1,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (1),
 distance: 0.6111706692063024
Autonomous Vehicle 5 is blocked by Normal Vehicle 2,
 distance: 3.2204820734675534
",,
42,6,,car,,373.0,0,,,
42,7,,car,,365.0,0,,,
43,1,,car,,406.0,0,,,
43,,12,auto,0.003048780487804878,328.0,0,,,
43,,2,auto,-0.9975124378109452,402.0,-1,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (7),
 distance: 40.614811144674746
Autonomous Vehicle 2 is too close to a Neighbor Normal Vehicle (6) in a different lane,
 distance: 3.208067001150821
Autonomous Vehicle 2 is blocked by Normal Vehicle 6,
 distance: 3.208067001150821
",,
